longitude	longitude_bnds	latitude	latitude_bnds	time..YYYYMMDDHHMMSS.	time_bnds..YYYYMMDDHHMMSS.	altitude..km.	alt_bnds..km.	fluorescence_offset_relative_771nm_idp	fluorescence_offset_relative_757nm_idp	xco2..Moles.Mole...1..
-74.5822482638889	-74.70703125:-74.4574652778	-29.2290184467659	-29.3536067521:-29.1044301414	20190518120000	20190518000000:20190519000000	3135.02368164062	0.0:6270.04736328	0.020556	0.0153584	0.000402695
-74.5822482638889	-74.70703125:-74.4574652778	-28.9798418359985	-29.1044301414:-28.8552535306	20190518120000	20190518000000:20190519000000	3135.02368164062	0.0:6270.04736328	0.000942296	0.0363295	0.000402228
-74.5822482638889	-74.70703125:-74.4574652778	-28.7306652252311	-28.8552535306:-28.6060769198	20190518120000	20190518000000:20190519000000	3135.02368164062	0.0:6270.04736328	0.00261603	-0.00578733	0.000403568
-74.5822482638889	-74.70703125:-74.4574652778	-28.4814886144637	-28.6060769198:-28.3569003091	20190518120000	20190518000000:20190519000000	3135.02368164062	0.0:6270.04736328	-0.0144296	-0.00248549	0.000402494
-74.5822482638889	-74.70703125:-74.4574652778	-28.2323120036962	-28.3569003091:-28.1077236983	20190518120000	20190518000000:20190519000000	3135.02368164062	0.0:6270.04736328	-0.0035997	0.0120425	0.000403332
-74.5822482638889	-74.70703125:-74.4574652778	-27.9831353929288	-28.1077236983:-27.8585470875	20190518120000	20190518000000:20190519000000	3135.02368164062	0.0:6270.04736328	0.00058681	0.0191326	0.000403915
-74.5822482638889	-74.70703125:-74.4574652778	-27.7339587821614	-27.8585470875:-27.6093704768	20190518120000	20190518000000:20190519000000	3135.02368164062	0.0:6270.04736328	-0.00496483	-0.000250565	0.000404015
-74.5822482638889	-74.70703125:-74.4574652778	-22.0028967345108	-22.1274850399:-21.8783084291	20190511120000	20190511000000:20190512000000	3135.02368164062	0.0:6270.04736328	0.0453491	-0.00323486	0.000398292
-74.5822482638889	-74.70703125:-74.4574652778	-21.7537201237434	-21.8783084291:-21.6291318184	20190511120000	20190511000000:20190512000000	3135.02368164062	0.0:6270.04736328	-0.0559692	-999999	0.000399066
-74.5822482638889	-74.70703125:-74.4574652778	-21.5045435129759	-21.6291318184:-21.3799552076	20190511120000	20190511000000:20190512000000	3135.02368164062	0.0:6270.04736328	-0.0121155	0.0149536	0.000400218
-74.5822482638889	-74.70703125:-74.4574652778	-21.2553669022085	-21.3799552076:-21.1307785968	20190511120000	20190511000000:20190512000000	3135.02368164062	0.0:6270.04736328	0.0350037	-0.0152283	0.000399606
-74.5822482638889	-74.70703125:-74.4574652778	-21.0061902914411	-21.1307785968:-20.8816019861	20190511120000	20190511000000:20190512000000	3135.02368164062	0.0:6270.04736328	0.00132243	-0.00366211	0.000390931
-74.5822482638889	-74.70703125:-74.4574652778	-14.2784218007208	-14.4030101061:-14.1538334953	20190504120000	20190504000000:20190505000000	3135.02368164062	0.0:6270.04736328	0.00848389	-0.00103149	0.000394962
-74.5822482638889	-74.70703125:-74.4574652778	-14.0292451899534	-14.1538334953:-13.9046568846	20190504120000	20190504000000:20190505000000	3135.02368164062	0.0:6270.04736328	0.0171361	-0.00293492	0.000402128
-74.5822482638889	-74.70703125:-74.4574652778	-14.0292451899534	-14.1538334953:-13.9046568846	20190527120000	20190527000000:20190528000000	3135.02368164062	0.0:6270.04736328	0.0334473	0.00998942	0.000404413
-74.5822482638889	-74.70703125:-74.4574652778	-13.780068579186	-13.9046568846:-13.6554802738	20190504120000	20190504000000:20190505000000	3135.02368164062	0.0:6270.04736328	0.01731	-0.0052726	0.000404865
