longitude	longitude_bnds	latitude	latitude_bnds	time..YYYYMMDDHHMMSS.	time_bnds..YYYYMMDDHHMMSS.	altitude..km.	alt_bnds..km.	fluorescence_offset_relative_771nm_idp	fluorescence_offset_relative_757nm_idp	xco2..Moles.Mole...1..
-74.5822482638889	-74.70703125:-74.4574652778	-20.5078370699063	-20.6324253753:-20.3832487645	20190714120000	20190714000000:20190715000000	3203.45874023438	0.0:6406.91748047	0.0077471	-0.018887	0.000403354
-74.5822482638889	-74.70703125:-74.4574652778	-20.2586604591388	-20.3832487645:-20.1340721538	20190714120000	20190714000000:20190715000000	3203.45874023438	0.0:6406.91748047	-0.019989	-0.0511322	0.000403657
-74.5822482638889	-74.70703125:-74.4574652778	-20.0094838483714	-20.1340721538:-19.884895543	20190714120000	20190714000000:20190715000000	3203.45874023438	0.0:6406.91748047	-0.022937	0.000823974	0.000398263
-74.5822482638889	-74.70703125:-74.4574652778	-14.2784218007208	-14.4030101061:-14.1538334953	20190730120000	20190730000000:20190731000000	3203.45874023438	0.0:6406.91748047	0.00859187	0.000431941	0.000407933
-74.5822482638889	-74.70703125:-74.4574652778	-14.0292451899534	-14.1538334953:-13.9046568846	20190730120000	20190730000000:20190731000000	3203.45874023438	0.0:6406.91748047	0.00806516	-0.0134575	0.000409139
-74.5822482638889	-74.70703125:-74.4574652778	-13.780068579186	-13.9046568846:-13.6554802738	20190730120000	20190730000000:20190731000000	3203.45874023438	0.0:6406.91748047	0.00956046	0.000863468	0.000408691
-74.5822482638889	-74.70703125:-74.4574652778	-13.5308919684185	-13.6554802738:-13.406303663	20190707120000	20190707000000:20190708000000	3203.45874023438	0.0:6406.91748047	-0.00823975	-0.000695801	0.000403782
-74.5822482638889	-74.70703125:-74.4574652778	-13.5308919684185	-13.6554802738:-13.406303663	20190730120000	20190730000000:20190731000000	3203.45874023438	0.0:6406.91748047	0.0102077	0.00355193	0.000408669
-74.5822482638889	-74.70703125:-74.4574652778	-13.2817153576511	-13.406303663:-13.1571270523	20190707120000	20190707000000:20190708000000	3203.45874023438	0.0:6406.91748047	-0.00797526	0.0165267	0.000402353
-74.5822482638889	-74.70703125:-74.4574652778	-13.2817153576511	-13.406303663:-13.1571270523	20190730120000	20190730000000:20190731000000	3203.45874023438	0.0:6406.91748047	0.00901826	-0.00264376	0.000408873
-74.5822482638889	-74.70703125:-74.4574652778	-13.0325387468837	-13.1571270523:-12.9079504415	20190707120000	20190707000000:20190708000000	3203.45874023438	0.0:6406.91748047	0.0136648	0.00490159	0.000403229
-74.5822482638889	-74.70703125:-74.4574652778	-13.0325387468837	-13.1571270523:-12.9079504415	20190730120000	20190730000000:20190731000000	3203.45874023438	0.0:6406.91748047	0.00666917	0.0115314	0.000406987
-74.5822482638889	-74.70703125:-74.4574652778	-12.7833621361163	-12.9079504415:-12.6587738307	20190707120000	20190707000000:20190708000000	3203.45874023438	0.0:6406.91748047	0.00974702	0.00287655	0.000404065
-74.5822482638889	-74.70703125:-74.4574652778	-12.7833621361163	-12.9079504415:-12.6587738307	20190730120000	20190730000000:20190731000000	3203.45874023438	0.0:6406.91748047	0.0080351	-0.00958252	0.000407398
-74.5822482638889	-74.70703125:-74.4574652778	-12.5341855253489	-12.6587738307:-12.40959722	20190707120000	20190707000000:20190708000000	3203.45874023438	0.0:6406.91748047	0.0111847	0.115648	0.000401557
-74.5822482638889	-74.70703125:-74.4574652778	-12.2850089145814	-12.40959722:-12.1604206092	20190707120000	20190707000000:20190708000000	3203.45874023438	0.0:6406.91748047	0.00524304	0.18691	0.000408119
-74.5822482638889	-74.70703125:-74.4574652778	-12.035832303814	-12.1604206092:-11.9112439984	20190707120000	20190707000000:20190708000000	3203.45874023438	0.0:6406.91748047	0.000915527	0.0213811	0.000409431
-74.5822482638889	-74.70703125:-74.4574652778	-11.7866556930466	-11.9112439984:-11.6620673877	20190707120000	20190707000000:20190708000000	3203.45874023438	0.0:6406.91748047	0.0045166	0.0396118	0.000407652
-74.5822482638889	-74.70703125:-74.4574652778	0.422998234556907	0.298409929173:0.547586539941	20190716120000	20190716000000:20190717000000	3203.45874023438	0.0:6406.91748047	0.0198319	0.0121528	0.000410283
-74.5822482638889	-74.70703125:-74.4574652778	0.672174845324324	0.547586539941:0.796763150708	20190716120000	20190716000000:20190717000000	3203.45874023438	0.0:6406.91748047	0.0186351	0.0111528	0.000409457
-74.5822482638889	-74.70703125:-74.4574652778	0.921351456091742	0.796763150708:1.04593976148	20190716120000	20190716000000:20190717000000	3203.45874023438	0.0:6406.91748047	0.0183472	0.0110596	0.00040381
-74.5822482638889	-74.70703125:-74.4574652778	1.17052806685916	1.04593976148:1.29511637224	20190716120000	20190716000000:20190717000000	3203.45874023438	0.0:6406.91748047	0.0154114	0.0102437	0.000403185
-74.5822482638889	-74.70703125:-74.4574652778	1.41970467762658	1.29511637224:1.54429298301	20190716120000	20190716000000:20190717000000	3203.45874023438	0.0:6406.91748047	0.0175793	0.0113261	0.000405947
-74.5822482638889	-74.70703125:-74.4574652778	1.668881288394	1.54429298301:1.79346959378	20190716120000	20190716000000:20190717000000	3203.45874023438	0.0:6406.91748047	0.017611	0.0136766	0.000405858
-74.3326822916667	-74.4574652778:-74.2078993056	-20.7570136806737	-20.8816019861:-20.6324253753	20190714120000	20190714000000:20190715000000	3203.45874023438	0.0:6406.91748047	0.17865	0.0100861	0.000396519
-74.3326822916667	-74.4574652778:-74.2078993056	-20.5078370699063	-20.6324253753:-20.3832487645	20190714120000	20190714000000:20190715000000	3203.45874023438	0.0:6406.91748047	-999999	-0.00726318	0.000416105
-74.3326822916667	-74.4574652778:-74.2078993056	-15.2751282437905	-15.3997165492:-15.1505399384	20190730120000	20190730000000:20190731000000	3203.45874023438	0.0:6406.91748047	0.00230857	0.00295243	0.000409934
-74.3326822916667	-74.4574652778:-74.2078993056	-15.0259516330231	-15.1505399384:-14.9013633276	20190730120000	20190730000000:20190731000000	3203.45874023438	0.0:6406.91748047	0.0109712	-0.00550334	0.000408919
-74.3326822916667	-74.4574652778:-74.2078993056	-14.7767750222556	-14.9013633276:-14.6521867169	20190707120000	20190707000000:20190708000000	3203.45874023438	0.0:6406.91748047	0.00604248	0.0335693	0.000413408
-74.3326822916667	-74.4574652778:-74.2078993056	-14.7767750222556	-14.9013633276:-14.6521867169	20190730120000	20190730000000:20190731000000	3203.45874023438	0.0:6406.91748047	0.00982336	-0.003377	0.000408765
-74.3326822916667	-74.4574652778:-74.2078993056	-14.5275984114882	-14.6521867169:-14.4030101061	20190707120000	20190707000000:20190708000000	3203.45874023438	0.0:6406.91748047	0.00627527	0.00831923	0.000407018
-74.3326822916667	-74.4574652778:-74.2078993056	-14.5275984114882	-14.6521867169:-14.4030101061	20190730120000	20190730000000:20190731000000	3203.45874023438	0.0:6406.91748047	0.00720943	-0.00587791	0.000408799
-74.3326822916667	-74.4574652778:-74.2078993056	-14.2784218007208	-14.4030101061:-14.1538334953	20190707120000	20190707000000:20190708000000	3203.45874023438	0.0:6406.91748047	0.00466739	0.0151259	0.00040429
-74.3326822916667	-74.4574652778:-74.2078993056	-14.2784218007208	-14.4030101061:-14.1538334953	20190730120000	20190730000000:20190731000000	3203.45874023438	0.0:6406.91748047	0.0112758	-0.00642788	0.000409212
-74.3326822916667	-74.4574652778:-74.2078993056	-14.0292451899534	-14.1538334953:-13.9046568846	20190707120000	20190707000000:20190708000000	3203.45874023438	0.0:6406.91748047	0.00667725	-0.00905198	0.000405567
-74.3326822916667	-74.4574652778:-74.2078993056	-14.0292451899534	-14.1538334953:-13.9046568846	20190730120000	20190730000000:20190731000000	3203.45874023438	0.0:6406.91748047	-0.00129728	0.018356	0.000408944
-74.3326822916667	-74.4574652778:-74.2078993056	-13.780068579186	-13.9046568846:-13.6554802738	20190707120000	20190707000000:20190708000000	3203.45874023438	0.0:6406.91748047	0.00319293	-7.73464e-05	0.000405758
-74.3326822916667	-74.4574652778:-74.2078993056	-13.780068579186	-13.9046568846:-13.6554802738	20190730120000	20190730000000:20190731000000	3203.45874023438	0.0:6406.91748047	0.0140119	0.00191825	0.000407715
-74.3326822916667	-74.4574652778:-74.2078993056	-13.5308919684185	-13.6554802738:-13.406303663	20190707120000	20190707000000:20190708000000	3203.45874023438	0.0:6406.91748047	0.00219894	-0.0303027	0.000407039
